#,asset,date,volume,close_usd,sector_level1,sector_level2
8971,Facebook Class A ,4/13/2022,19231817,214.99001,Technology,Software & IT Services
8972,Facebook Class A ,4/14/2022,18379454,210.18,Technology,Software & IT Services
8973,Facebook Class A ,4/15/2022,0,210.18,Technology,Software & IT Services
8974,Facebook Class A ,4/18/2022,16580793,210.77001,Technology,Software & IT Services
8975,Facebook Class A ,4/19/2022,20089872,217.31,Technology,Software & IT Services
8976,Facebook Class A ,4/20/2022,43036528,200.42,Technology,Software & IT Services
8977,Facebook Class A ,4/21/2022,49954079,188.07001,Technology,Software & IT Services
8978,Facebook Class A ,4/22/2022,36426770,184.11001,Technology,Software & IT Services
8979,Facebook Class A ,4/25/2022,29281059,186.99001,Technology,Software & IT Services
8980,Facebook Class A ,4/26/2022,31747434,180.95,Technology,Software & IT Services
8981,Facebook Class A ,4/27/2022,71062875,174.95,Technology,Software & IT Services
8982,Facebook Class A ,4/28/2022,100890570,205.73,Technology,Software & IT Services
8983,Facebook Class A ,4/29/2022,49193434,200.47001,Technology,Software & IT Services
8984,Facebook Class A ,5/2/2022,49915290,211.13001,Technology,Software & IT Services
8985,Facebook Class A ,5/3/2022,41556266,212.03,Technology,Software & IT Services
8986,Facebook Class A ,5/4/2022,41375883,223.41001,Technology,Software & IT Services
8987,Facebook Class A ,5/5/2022,41129192,208.28,Technology,Software & IT Services
8988,Facebook Class A ,5/6/2022,34747157,203.77001,Technology,Software & IT Services
8989,Facebook Class A ,5/9/2022,36303200,196.21001,Technology,Software & IT Services
8990,Facebook Class A ,5/10/2022,34452493,197.65,Technology,Software & IT Services
8991,Facebook Class A ,5/11/2022,31153383,188.74001,Technology,Software & IT Services
8992,Facebook Class A ,5/12/2022,38262227,191.24001,Technology,Software & IT Services
8993,Facebook Class A ,5/13/2022,24549844,198.62,Technology,Software & IT Services
8994,Facebook Class A ,5/16/2022,27112594,200.04,Technology,Software & IT Services
8995,Facebook Class A ,5/17/2022,24872731,202.62,Technology,Software & IT Services
8996,Facebook Class A ,5/18/2022,23959965,192.24001,Technology,Software & IT Services
8997,Facebook Class A ,5/19/2022,24446938,191.29,Technology,Software & IT Services
8998,Facebook Class A ,5/20/2022,31465571,193.54,Technology,Software & IT Services
8999,Facebook Class A ,5/23/2022,25059161,196.23,Technology,Software & IT Services
9000,Facebook Class A ,5/24/2022,50406274,181.28,Technology,Software & IT Services
9001,Facebook Class A ,5/25/2022,28030196,183.83001,Technology,Software & IT Services
9002,Facebook Class A ,5/26/2022,23056454,191.63001,Technology,Software & IT Services
9003,Facebook Class A ,5/27/2022,22562727,195.13001,Technology,Software & IT Services
9004,Facebook Class A ,5/30/2022,0,195.13001,Technology,Software & IT Services
9005,Facebook Class A ,5/31/2022,26131102,193.64,Technology,Software & IT Services
9006,Facebook Class A ,6/1/2022,36623497,188.64,Technology,Software & IT Services
9007,Facebook Class A ,6/2/2022,31951583,198.86001,Technology,Software & IT Services
9008,Facebook Class A ,6/3/2022,19464993,190.78,Technology,Software & IT Services
9009,Facebook Class A ,6/6/2022,30574243,194.25,Technology,Software & IT Services
9010,Facebook Class A ,6/7/2022,18828688,195.65,Technology,Software & IT Services
9011,Facebook Class A ,6/8/2022,22267153,196.64,Technology,Software & IT Services
9012,Facebook Class A ,6/9/2022,23501579,184,Technology,Software & IT Services
9013,Facebook Class A ,6/10/2022,27478356,175.57001,Technology,Software & IT Services
9014,Facebook Class A ,6/13/2022,31749305,164.26,Technology,Software & IT Services
9015,Facebook Class A ,6/14/2022,27244274,163.73,Technology,Software & IT Services
9016,Facebook Class A ,6/15/2022,30008250,169.35001,Technology,Software & IT Services
9017,Facebook Class A ,6/16/2022,26944145,160.87,Technology,Software & IT Services
9018,Facebook Class A ,6/17/2022,31374215,163.74001,Technology,Software & IT Services
9019,Facebook Class A ,6/20/2022,0,163.74001,Technology,Software & IT Services
9020,Facebook Class A ,6/21/2022,50724899,157.05001,Technology,Software & IT Services
9021,Facebook Class A ,6/22/2022,47596821,155.85001,Technology,Software & IT Services
9022,Facebook Class A ,6/23/2022,40499200,158.75,Technology,Software & IT Services
9023,Facebook Class A ,6/24/2022,68736000,170.16001,Technology,Software & IT Services
9024,Facebook Class A ,6/27/2022,29174559,169.49001,Technology,Software & IT Services
9025,Facebook Class A ,6/28/2022,27788727,160.68,Technology,Software & IT Services
9026,Facebook Class A ,6/29/2022,28595235,163.94001,Technology,Software & IT Services
9027,Facebook Class A ,6/30/2022,35250606,161.25,Technology,Software & IT Services
9028,Facebook Class A ,7/1/2022,31423934,160.03,Technology,Software & IT Services
9029,Facebook Class A ,7/4/2022,0,160.03,Technology,Software & IT Services
9030,Facebook Class A ,7/5/2022,28664801,168.19001,Technology,Software & IT Services
9031,Facebook Class A ,7/6/2022,23085922,169.77001,Technology,Software & IT Services
9032,Facebook Class A ,7/7/2022,24083368,172.19001,Technology,Software & IT Services
9033,Facebook Class A ,7/8/2022,19249243,170.88001,Technology,Software & IT Services
9034,Facebook Class A ,7/11/2022,21905133,162.88001,Technology,Software & IT Services
9035,Facebook Class A ,7/12/2022,16639661,163.27001,Technology,Software & IT Services
9036,Facebook Class A ,7/13/2022,16555137,163.49001,Technology,Software & IT Services
9037,Facebook Class A ,7/14/2022,23765168,158.05001,Technology,Software & IT Services
9038,Facebook Class A ,7/15/2022,23342809,164.7,Technology,Software & IT Services
9039,Facebook Class A ,7/18/2022,23574336,167.23,Technology,Software & IT Services
9040,Facebook Class A ,7/19/2022,25933680,175.78,Technology,Software & IT Services
9041,Facebook Class A ,7/20/2022,24784274,183.09,Technology,Software & IT Services
9042,Facebook Class A ,7/21/2022,27195817,183.17,Technology,Software & IT Services
9043,Facebook Class A ,7/22/2022,42583915,169.27001,Technology,Software & IT Services
9044,Facebook Class A ,7/25/2022,26166325,166.65,Technology,Software & IT Services
9045,Facebook Class A ,7/26/2022,28468426,159.15,Technology,Software & IT Services
9046,Facebook Class A ,7/27/2022,43846559,169.58001,Technology,Software & IT Services
9047,Facebook Class A ,7/28/2022,73214313,160.72001,Technology,Software & IT Services
9048,Facebook Class A ,7/29/2022,42065395,159.10001,Technology,Software & IT Services
9049,Facebook Class A ,8/1/2022,40596704,159.93,Technology,Software & IT Services
9050,Facebook Class A ,8/2/2022,27374516,160.19001,Technology,Software & IT Services
9051,Facebook Class A ,8/3/2022,31717528,168.80001,Technology,Software & IT Services
9052,Facebook Class A ,8/4/2022,23938211,170.57001,Technology,Software & IT Services
9053,Facebook Class A ,8/5/2022,25832700,167.11001,Technology,Software & IT Services
9054,Facebook Class A ,8/8/2022,27299114,170.25,Technology,Software & IT Services
9055,Facebook Class A ,8/9/2022,18655055,168.53,Technology,Software & IT Services
9056,Facebook Class A ,8/10/2022,30262133,178.34,Technology,Software & IT Services
9057,Facebook Class A ,8/11/2022,24079063,177.49001,Technology,Software & IT Services
9058,Facebook Class A ,8/12/2022,21274047,180.5,Technology,Software & IT Services
9059,Facebook Class A ,8/15/2022,15878672,180.89,Technology,Software & IT Services
9060,Facebook Class A ,8/16/2022,21156711,179.47001,Technology,Software & IT Services
9061,Facebook Class A ,8/17/2022,20118133,174.85001,Technology,Software & IT Services
9062,Facebook Class A ,8/18/2022,18844450,174.66001,Technology,Software & IT Services
9063,Facebook Class A ,8/19/2022,26240801,167.96001,Technology,Software & IT Services
9064,Facebook Class A ,8/22/2022,19499711,163.05001,Technology,Software & IT Services
9065,Facebook Class A ,8/23/2022,18111778,161.11001,Technology,Software & IT Services
